stage,epoch,train_acc,val_acc,gap,val_loss,lr
STAGE 1 — head only (backbone frozen),1,0.3436,0.5511,-0.2075,1.9623,1.00e-03
STAGE 1 — head only (backbone frozen),2,0.5210,0.5940,-0.0730,1.8043,9.94e-04
STAGE 1 — head only (backbone frozen),3,0.5719,0.6227,-0.0507,1.7416,9.76e-04
STAGE 1 — head only (backbone frozen),4,0.5964,0.6310,-0.0346,1.6901,9.46e-04
STAGE 1 — head only (backbone frozen),5,0.6214,0.6668,-0.0454,1.6301,9.05e-04
STAGE 1 — head only (backbone frozen),6,0.6289,0.6672,-0.0383,1.6056,8.54e-04
STAGE 1 — head only (backbone frozen),7,0.6424,0.6736,-0.0312,1.6192,7.94e-04
STAGE 1 — head only (backbone frozen),8,0.6500,0.6692,-0.0192,1.6149,7.27e-04
STAGE 1 — head only (backbone frozen),9,0.6636,0.6875,-0.0239,1.5612,6.55e-04
STAGE 1 — head only (backbone frozen),10,0.6692,0.6835,-0.0143,1.5596,5.79e-04
STAGE 1 — head only (backbone frozen),11,0.6815,0.6978,-0.0163,1.5423,5.01e-04
STAGE 1 — head only (backbone frozen),12,0.6892,0.6855,+0.0037,1.5491,4.22e-04
STAGE 1 — head only (backbone frozen),13,0.6882,0.6954,-0.0072,1.5235,3.46e-04
STAGE 1 — head only (backbone frozen),14,0.6924,0.7018,-0.0094,1.5226,2.74e-04
STAGE 1 — head only (backbone frozen),15,0.7027,0.7014,+0.0014,1.5186,2.07e-04
STAGE 1 — head only (backbone frozen),16,0.7129,0.7026,+0.0103,1.5175,1.47e-04
STAGE 1 — head only (backbone frozen),17,0.7113,0.7105,+0.0007,1.5015,9.64e-05
STAGE 1 — head only (backbone frozen),18,0.7157,0.7054,+0.0103,1.5065,5.54e-05
STAGE 1 — head only (backbone frozen),19,0.7191,0.7121,+0.0070,1.4923,2.54e-05
STAGE 1 — head only (backbone frozen),20,0.7160,0.7093,+0.0067,1.5032,7.15e-06
STAGE 2 — fine-tune layer4 + Mixup,1,0.6439,0.7634,-0.1195,1.3647,1.00e-04
STAGE 2 — fine-tune layer4 + Mixup,2,0.6838,0.7841,-0.1003,1.3141,9.94e-05
STAGE 2 — fine-tune layer4 + Mixup,3,0.7042,0.8060,-0.1017,1.2569,9.76e-05
STAGE 2 — fine-tune layer4 + Mixup,4,0.7252,0.8123,-0.0871,1.2273,9.46e-05
STAGE 2 — fine-tune layer4 + Mixup,5,0.7415,0.8235,-0.0819,1.2142,9.05e-05
STAGE 2 — fine-tune layer4 + Mixup,6,0.7270,0.8183,-0.0912,1.2158,8.54e-05
STAGE 2 — fine-tune layer4 + Mixup,7,0.7702,0.8219,-0.0517,1.1862,7.94e-05
STAGE 2 — fine-tune layer4 + Mixup,8,0.7487,0.8342,-0.0855,1.1638,7.27e-05
STAGE 2 — fine-tune layer4 + Mixup,9,0.7714,0.8378,-0.0664,1.1529,6.55e-05
STAGE 2 — fine-tune layer4 + Mixup,10,0.7835,0.8358,-0.0523,1.1600,5.79e-05
STAGE 2 — fine-tune layer4 + Mixup,11,0.7947,0.8429,-0.0482,1.1431,5.01e-05
STAGE 2 — fine-tune layer4 + Mixup,12,0.8032,0.8473,-0.0441,1.1276,4.22e-05
STAGE 2 — fine-tune layer4 + Mixup,13,0.8022,0.8402,-0.0380,1.1450,3.46e-05
STAGE 2 — fine-tune layer4 + Mixup,14,0.8170,0.8394,-0.0223,1.1316,2.74e-05
STAGE 2 — fine-tune layer4 + Mixup,15,0.8126,0.8437,-0.0312,1.1340,2.07e-05
STAGE 2 — fine-tune layer4 + Mixup,16,0.8073,0.8417,-0.0345,1.1353,1.47e-05
STAGE 2 — fine-tune layer4 + Mixup,17,0.8077,0.8429,-0.0352,1.1293,9.64e-06
STAGE 2 — fine-tune layer4 + Mixup,18,0.7986,0.8457,-0.0471,1.1196,5.54e-06
STAGE 2 — fine-tune layer4 + Mixup,19,0.8091,0.8441,-0.0351,1.1201,2.54e-06
STAGE 2 — fine-tune layer4 + Mixup,20,0.8282,0.8417,-0.0135,1.1245,7.15e-07
STAGE 3 — fine-tune layer3+4 + Mixup,1,0.8068,0.8441,-0.0373,1.1305,1.00e-05
STAGE 3 — fine-tune layer3+4 + Mixup,2,0.8011,0.8414,-0.0402,1.1433,9.89e-06
STAGE 3 — fine-tune layer3+4 + Mixup,3,0.8116,0.8469,-0.0353,1.1228,9.57e-06
STAGE 3 — fine-tune layer3+4 + Mixup,4,0.8046,0.8433,-0.0387,1.1313,9.05e-06
STAGE 3 — fine-tune layer3+4 + Mixup,5,0.8064,0.8489,-0.0425,1.1295,8.35e-06
STAGE 3 — fine-tune layer3+4 + Mixup,6,0.8046,0.8489,-0.0443,1.1286,7.50e-06
STAGE 3 — fine-tune layer3+4 + Mixup,7,0.8214,0.8489,-0.0275,1.1191,6.55e-06
STAGE 3 — fine-tune layer3+4 + Mixup,8,0.8185,0.8509,-0.0324,1.1227,5.53e-06
STAGE 3 — fine-tune layer3+4 + Mixup,9,0.8277,0.8497,-0.0220,1.1186,4.48e-06
STAGE 3 — fine-tune layer3+4 + Mixup,10,0.7893,0.8509,-0.0616,1.1225,3.46e-06
STAGE 3 — fine-tune layer3+4 + Mixup,11,0.8125,0.8533,-0.0408,1.1117,2.51e-06
STAGE 3 — fine-tune layer3+4 + Mixup,12,0.8129,0.8501,-0.0372,1.1083,1.66e-06
STAGE 3 — fine-tune layer3+4 + Mixup,13,0.8068,0.8549,-0.0481,1.1126,9.64e-07
STAGE 3 — fine-tune layer3+4 + Mixup,14,0.8216,0.8545,-0.0329,1.1147,4.42e-07
STAGE 3 — fine-tune layer3+4 + Mixup,15,0.8141,0.8485,-0.0344,1.1129,1.19e-07
